Time(s),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s)
2.12,25.4968,14.1771,0.00249525,14326.6,7404.8,0.499802
2.13,25.4969,14.1672,0.00254428,14326.4,7398.84,0.446107
2.14,25.4968,14.1572,0.00257157,14326.8,7393.4,1.078
2.15,25.4968,14.1472,0.00260146,14326.3,7387.79,0.814711
2.16,25.4969,14.1371,0.00258688,14326.6,7381.88,0.435847
2.17,25.4969,14.1273,0.00253191,14326.8,7376.49,0.295748
2.18,25.4968,14.1172,0.00255866,14326.5,7370.66,0.611717
2.19,25.4969,14.1072,0.00258433,14326.7,7364.99,0.379135
2.2,25.4968,14.0972,0.00256336,14326.5,7359.43,0.632467
2.21,25.4968,14.0872,0.00257422,14326.5,7353.88,0.662271
2.22,25.4968,14.0771,0.00256446,14326.5,7348.25,0.59754
2.23,25.4969,14.0672,0.00246524,14326.4,7342.46,0.529674
2.24,25.4968,14.0572,0.00258479,14326.4,7337.34,0.719337
2.25,25.4968,14.0473,0.00249107,14326.4,7331.82,0.474367
2.26,25.4969,14.0371,0.00251499,14326.6,7325.77,0.460577
2.27,25.4968,14.0272,0.00257452,14326.5,7320.17,0.419069
2.28,25.4969,14.0172,0.00249295,14326.4,7314.46,0.527282
2.29,25.4968,14.0071,0.00253523,14326.3,7308.65,0.691496
2.3,25.4968,13.9972,0.00252201,14326.6,7303.59,0.442194
2.31,25.4968,13.9872,0.00256169,14326.6,7297.8,0.502521
2.32,25.4968,13.9771,0.00251119,14326.6,7292.22,0.187198
2.33,25.4968,13.9672,0.0024956,14326.6,7286.63,0.766518
2.34,25.4969,13.9571,0.00254567,14326.6,7280.85,0.51368
2.35,25.4969,13.9471,0.00252861,14326.4,7275.27,0.36692
2.36,25.4969,13.9372,0.00256174,14326.7,7269.6,0.620468
2.37,25.4969,13.9271,0.00257038,14326.5,7264.2,0.579238
2.38,25.4968,13.9171,0.00250529,14326.6,7258.27,0.434592
2.39,25.4968,13.9072,0.0025321,14326.7,7252.5,0.75842
2.4,25.4967,13.8972,0.00262014,14326.4,7247.17,0.535851
2.41,25.4968,13.8871,0.00251222,14326.6,7241.59,0.674851
2.42,25.4968,13.8772,0.00252018,14326.3,7235.84,0.372191
2.43,25.4968,13.8672,0.00252548,14326.4,7230.05,0.368061
2.44,25.4968,13.8572,0.00263502,14326.4,7224.44,0.638804
2.45,25.4968,13.8472,0.00240715,14326.6,7219.09,0.531394
2.46,25.4969,13.8372,0.00256114,14326.3,7213.37,0.288974
2.47,25.4968,13.8272,0.00251246,14326.2,7208.02,0.601622
2.48,25.4968,13.8171,0.00250404,14326.7,7202.4,0.531703
2.49,25.4968,13.8071,0.00253367,14326.5,7196.44,0.56534
2.5,25.4969,13.7972,0.00253356,14326.4,7191.09,0.535201
2.51,25.4968,13.7872,0.00257038,14326.4,7185.52,0.637902
2.52,25.4968,13.7772,0.00254356,14326.3,7179.48,0.792294
2.53,25.4968,13.7672,0.00254531,14326.5,7173.94,0.826334
2.54,25.4968,13.7572,0.00257861,14326.4,7168.38,0.222559
2.55,25.4968,13.7471,0.00249332,14326.5,7162.84,0.551817
2.56,25.4968,13.7372,0.00254985,14326.3,7157.36,0.790332
2.57,25.4969,13.7271,0.00261297,14326.9,7151.42,0.612237
2.58,25.4968,13.7172,0.00255982,14326.7,7146,0.740485
2.59,25.4967,13.7071,0.00260548,14326.5,7140.38,0.682618
2.6,25.4968,13.6972,0.00254617,14326.3,7134.68,0.598973
2.61,25.4968,13.6871,0.00259376,14326.2,7129.28,0.589428
2.62,25.4969,13.6771,0.00253003,14326.5,7123.62,0.320425
2.63,25.4968,13.6671,0.00255793,14326.8,7117.86,0.606324
2.64,25.4968,13.6571,0.00252033,14326.5,7112.26,0.590376
2.65,25.4968,13.6471,0.00260874,14326.5,7106.69,0.746472
2.66,25.4968,13.6371,0.00254639,14326.6,7101.04,0.721932
2.67,25.4967,13.6271,0.00263553,14326.3,7095.76,0.624471
2.68,25.4968,13.6172,0.00251434,14326.5,7089.97,0.310512
2.69,25.4968,13.6072,0.00253224,14326.7,7084.02,0.54779
2.7,25.4968,13.5972,0.00254442,14326.4,7078.73,0.362916
